_id,amount,brand,category,description,price,stock,tipo,url
"""669e7765c0806accd663bde0""",snack,papas queso cheddar,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661285/wh42ma9ewbmjlbzvygv6.webp,true
"""669e7773c0806accd663bde1""",snack,papas batatas,quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661298/d6jybshx5dsbgv885usp.webp,true
"""669e7795c0806accd663bde2""",snack,tostaditas de arroz cuatro queso,quento,90g,1400,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661332/c2fetauj8h9wy3h3iyf5.webp,false
"""669e77a7c0806accd663bde3""",snack,"tostaditas de arroz jamón ibérico ",quento,90g,1500,snacks,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721661351/nhjawn8hvifayvpmakwx.webp,true
"""669fc253c0806accd663bde4""",té,negro,la virginia,25 saquitos,850,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746002/dkbmmspnecbch4c67cae.webp,true
"""669fc26cc0806accd663bde5""",té,limon,la virginia,20 saquitos,1450,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746027/mprgtibirnlbju1h8hwt.webp,true
"""669fc288c0806accd663bde6""",té,manzana con canela,la virginia,20 saquitos,1650,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746056/hbbfm7y1ownfdtyslbiz.webp,true
"""669fc29ac0806accd663bde7""",té,canela,la virginia,20 saquitos,1430,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746073/toizsdoqy6jidjulvhtg.webp,true
"""669fc2bec0806accd663bde8""",té,rosa mosqueta y manzanilla,la virginia,20 saquitos,2100,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746109/zuhzqgb3wnr7sczdczzl.webp,true
"""669fc2d4c0806accd663bde9""",té,maracuyá,la virginia,20 saquitos,1650,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746131/jzilyyyerilomlnl3hke.webp,true
"""669fc2f7c0806accd663bdea""",té,chai,la virginia,20 saquitos,1400,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746166/wpszqrjq6oha67ssph7a.webp,true
"""669fc310c0806accd663bdeb""",té,verde jazmín,la virginia,20 saquitos,1350,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746191/uzdowgecbedqrjfmtbrw.webp,true
"""669fc32fc0806accd663bdec""",té,rojo,la virginia,20 saquitos,1350,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746223/aysla0m4akpt49izlzgi.webp,true
"""669fc34ac0806accd663bded""",té,boldo,la virginia,25 saquitos,1580,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746250/xffknuyw24kob6ysoitp.webp,true
"""669fc365c0806accd663bdee""",té,tilo,la virginia,25 saquitos,2200,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746276/hm2iqd7tklpyxrhsgsds.webp,true
"""669fc388c0806accd663bdef""",té,tilo manzanilla y cedrón,la virginia,25 saquitos,1550,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746312/zbybvfdkqxsivoubc0l4.webp,true
"""669fc3adc0806accd663bdf0""",té,manzanilla,la virginia,25 saquitos,1300,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746348/drz4fpxglmr4pfg3vlw1.webp,true
"""669fc3cbc0806accd663bdf1""",té,manzanilla con anis,la virginia,25 saquitos,1570,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746378/anjgrwdftaaj1xrkip7m.webp,true
"""669fc3efc0806accd663bdf2""",té,menta peperina,la virginia,25 saquitos,1300,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746415/n3earmmfy9rulctcai5u.webp,true
"""669fc410c0806accd663bdf3""",té,cedrón,la virginia,25 saquitos,1450,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746447/uodubbrjbxhrmgfwotlt.webp,true
"""669fc420c0806accd663bdf4""",té,verde,la virginia,20 saquitos,1050,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746463/p05r0npynaknp1wo4r5t.webp,true
"""669fc439c0806accd663bdf5""",té,verde citrus,la virginia,20 saquitos,1350,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746489/d2exuc8hznj4ywnp4zwg.webp,true
"""669fc45dc0806accd663bdf6""",té,mezcla de hierbas naturales,la virginia,25 saquitos,1400,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746524/zcfnj4rjtbyn82c9bb0n.webp,true
"""669fc473c0806accd663bdf7""",té,durazno,la virginia,20 saquitos,1400,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746546/mojaoztlltezttpiplhw.webp,true
"""669fc48ac0806accd663bdf8""",té,frutilla,la virginia,20 saquitos,1470,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746570/sateomlhmemptbwg2ujr.webp,true
"""669fc56608a8bb66f9f4b4fc""",té,"mandarina, naranja y pomelo",la virginia,20 saquitos,1650,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746789/ye9mpdxea6afws6uxt3q.webp,true
"""669fc57708a8bb66f9f4b4fd""",té,frutas tropicales,la virginia,20 saquitos,1650,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746806/gqio8tstvmx1rnzthuxb.webp,true
"""669fc5f708a8bb66f9f4b4fe""",té,detox,la virginia,25 saquitos,1800,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746934/qs4ilo6sl1e4mfau5uno.webp,true
"""669fc61508a8bb66f9f4b4ff""",té,fluir,la virginia,25 saquitos,1800,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721747000/v5pljqykmjrhqa2vjgob.webp,true
"""669fc62508a8bb66f9f4b500""",té,inspirar,la virginia,25 saquitos,1800,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721746981/njzsqsq3jwb5exxnk3r9.webp,true
"""66a1010e08a8bb66f9f4b501""",cacao,en polvo,chocolino,800g,6400,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721827598/ggcchbyeqhbst8tqkijp.webp,true
"""66a112f84f72b759c7984326""",sabor en polvo,verdura,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832183/dztsnz8esz5ntehl7kzo.webp,true
"""66a1130a4f72b759c7984327""",sabor en polvo,gallina,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832201/z7wx7gtnzv5r6wk3psvo.webp,true
"""66a113194f72b759c7984328""",sabor en polvo,panceta y hierbas,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832217/tomgluema55uvy3ema9n.webp,true
"""66a113294f72b759c7984329""",sabor en polvo,crema y verdeo,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832233/psmmt4vvrpgoafwxgovp.webp,true
"""66a1133f4f72b759c798432a""",sabor en polvo,finas hierbas,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832254/vetb19ivws6uuiftqasf.webp,true
"""66a1135d4f72b759c798432b""",sabor en polvo,champignones y hongos,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832285/mpg7w31q7nq7dgglgjd8.webp,true
"""66a1136b4f72b759c798432c""",sabor en polvo,carne,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832298/ybohvtnrcuko38t908bp.webp,true
"""66a113794f72b759c798432d""",sabor en polvo,4 quesos,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832312/siwmfjeludoyg9mutago.webp,true
"""66a1138c4f72b759c798432e""",sabor en polvo,albahaca y ajo,alicante,25g,260,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832331/kn5czg5yauerhvtvsonb.webp,true
"""66a113e54f72b759c798432f""",especia,ají triturado,alicante,50g,1250,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832421/id4rdjf8rysfcsq0efng.webp,true
"""66a114094f72b759c7984330""",especia,surtidas molidas,alicante,25g,1080,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832457/xxnrajzjzeszjhjqm3zr.webp,true
"""66a114404f72b759c7984331""",especias,nuez moscada entera,alicante,20g,1800,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832512/gll6vydtkgywgoryccfd.webp,true
"""66a114764f72b759c7984332""",especias,pimenton dulce,alicante,25g,600,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832566/et97jcwtsse5wffgbwta.webp,true
"""66a1148a4f72b759c7984333""",especias,pimienta blanca molida,alicante,25g,1200,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832585/rd1kifhdirwet2e35co2.webp,true
"""66a114a44f72b759c7984334""",especias,cebolla deshidratada,alicante,50g,1800,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832611/xdl2tq4ewrksyy74eddr.webp,true
"""66a114b94f72b759c7984335""",especias,laurel en hojas,alicante,25g,1100,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832632/wsx73hoscjrfuausqavo.webp,true
"""66a114cc4f72b759c7984336""",especias,orégano,alicante,25g,900,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832652/paehnmuifllakc7qw5ir.webp,true
"""66a114e54f72b759c7984337""",especias,perejil deshidratado,alicante,25g,1100,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832677/smvq7oxyithzdefopbnx.webp,true
"""66a114fd4f72b759c7984338""",especias,provenzal,alicante,25g,800,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832700/nfzjqstufgssa48obc2a.webp,true
"""66a115174f72b759c7984339""",especias,romero,alicante,15g,500,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832726/h8vll5wky1bv36puo8co.webp,true
"""66a115224f72b759c798433a""",especias,tomillo,alicante,15g,600,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832738/cr8mu1dkt3mwrkqj5wje.webp,true
"""66a1153c4f72b759c798433b""",condimento para,empanadas,alicante,25g,980,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832764/s4umxqm7d39izhf9junr.webp,true
"""66a115484f72b759c798433c""",condimento para,milanesa,alicante,25g,800,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832776/r3ocy7pfwcvnkuzd7itx.webp,true
"""66a115524f72b759c798433d""",condimento para,pizza,alicante,25g,700,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832785/swbbyuqpncs8o4dmwvyl.webp,true
"""66a115654f72b759c798433e""",condimento para,chimichurri,alicante,25g,800,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832805/jho1zpz6i9tmxms7k6nv.webp,true
"""66a1157e4f72b759c798433f""",condimento para,tucos y guisos,alicante,25g,680,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832830/cl1add66a1jq1zh6woeh.webp,true
"""66a1158d4f72b759c7984340""",condimento para,vegetales cocidos,alicante,25g,790,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832845/uw8wudwqid9sqs5z0pbq.webp,true
"""66a115ad4f72b759c7984341""",bircarbonate,de sodio,alicante,50g,750,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832877/ifcf0vgd7d5yr7gh9lw8.webp,true
"""66a115bf4f72b759c7984342""",canela,en rama,alicante,20g,1950,condimentos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1721832895/j65smi32sq7eqieo1rnm.webp,true
